raw,kalman
3099.00,3082.52
3091.00,3082.92
3103.00,3083.82
3097.00,3084.41
3100.00,3085.09
3102.00,3085.82
3101.00,3086.47
3103.00,3087.17
3098.00,3087.62
3099.00,3088.08
3103.00,3088.68
3097.00,3089.01
3099.00,3089.40
3093.00,3089.54
3091.00,3089.59
3083.00,3089.36
3091.00,3089.41
3089.00,3089.40
3067.00,3088.67
3068.00,3087.98
3079.00,3087.68
3061.00,3086.81
3069.00,3086.21
3055.00,3085.17
3049.00,3083.93
3043.00,3082.47
3021.00,3080.20
3017.00,3077.68
2999.00,3074.30
2989.00,3070.26
2969.00,3064.94
2927.00,3056.74
2891.00,3045.05
2829.00,3026.51
2772.00,2998.66
2712.00,2958.03
2638.00,2899.68
2585.00,2827.24
2541.00,2749.16
2521.00,2680.67
2492.00,2623.28
2463.00,2575.96
2440.00,2537.82
2411.00,2504.47
2379.00,2473.36
2343.00,2442.50
2315.00,2413.19
2293.00,2386.28
2271.00,2361.23
2252.00,2338.18
2231.00,2316.26
2215.00,2296.11
2203.00,2278.14
2191.00,2261.90
2173.00,2245.94
2168.00,2232.34
2158.00,2219.86
2147.00,2208.08
2131.00,2196.03
2123.00,2184.87
2117.00,2174.76
2117.00,2166.40
2109.00,2158.42
2105.00,2151.25
2105.00,2145.27
2103.00,2140.04
2104.00,2135.77
2101.00,2131.86
2095.00,2127.89
2091.00,2124.08
2091.00,2120.77
2093.00,2118.09
2093.00,2115.78
2089.00,2113.41
2089.00,2111.33
2085.00,2109.17
2087.00,2107.41
2084.00,2105.62
2084.00,2104.01
2079.00,2102.21
2079.00,2100.58
2079.00,2099.11
2077.00,2097.63
2077.00,2096.29
2075.00,2094.94
2076.00,2093.77
2077.00,2092.75
2077.00,2091.82
2077.00,2090.98
2079.00,2090.31
2077.00,2089.59
2085.00,2089.35
2073.00,2088.53
2079.00,2088.06
2079.00,2087.63
2076.00,2087.09
2087.00,2087.08
2079.00,2086.73
2079.00,2086.40
2083.00,2086.26
2083.00,2086.13
2079.00,2085.86
2079.00,2085.60
2079.00,2085.36
2079.00,2085.13
2077.00,2084.85
2077.00,2084.58
2078.00,2084.35
2077.00,2084.11
2075.00,2083.82
2083.00,2083.79
2075.00,2083.52
2079.00,2083.38
2079.00,2083.25
2084.00,2083.27
2079.00,2083.15
2079.00,2083.03
2077.00,2082.87
2079.00,2082.76
2082.00,2082.74
2079.00,2082.64
2078.00,2082.53
2079.00,2082.44
2079.00,2082.35
2085.00,2082.42
2083.00,2082.43
2084.00,2082.47
2076.00,2082.32
2077.00,2082.20
2075.00,2082.04
2077.00,2081.93
2083.00,2081.95
2079.00,2081.89
2073.00,2081.70
2084.00,2081.75
2077.00,2081.65
2083.00,2081.68
2079.00,2081.63
2084.00,2081.67
2078.00,2081.60
2083.00,2081.63
2079.00,2081.58
2084.00,2081.62
2078.00,2081.56
2085.00,2081.62
2075.00,2081.50
2087.00,2081.60
2084.00,2081.64
2085.00,2081.70
2076.00,2081.60
2085.00,2081.66
2079.00,2081.62
2077.00,2081.54
2075.00,2081.43
2083.00,2081.45
2077.00,2081.38
2100.00,2081.69
2121.00,2082.34
2165.00,2083.80
2220.00,2086.55
2279.00,2091.36
2336.00,2099.55
2410.00,2114.29
2454.00,2138.57
2503.00,2177.62
2541.00,2234.42
2580.00,2307.87
2633.00,2393.84
2688.00,2483.20
2751.00,2570.36
2831.00,2657.22
2867.00,2727.79
2902.00,2784.09
2925.00,2826.86
2943.00,2859.39
2951.00,2882.90
2979.00,2905.28
2975.00,2920.43
2994.00,2935.03
2988.00,2944.86
3000.00,2954.24
2999.00,2961.35
3017.00,2969.57
3027.00,2977.66
3037.00,2985.72
3045.00,2993.53
3061.00,3002.21
3087.00,3013.00
3080.00,3021.68
3092.00,3030.69
3099.00,3039.40
3099.00,3046.95
3097.00,3053.16
3091.00,3057.70
3099.00,3062.43
3101.00,3066.68
3093.00,3069.47
3094.00,3071.94
